3-3-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,16.8,3.96
2-3-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,30.8,3.96
1-3-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,21.2,3.96
28-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,13.4,3.96
27-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.6,3.96
26-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,6.4,3.96
25-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
24-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,2.2,3.96
23-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,2.38,3.96
22-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,2,3.96
21-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
20-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
19-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
18-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
17-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
16-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
15-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
14-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,1.49,3.96
13-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,1.67,3.96
12-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.8,3.96
11-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,1.72,3.96
10-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
9-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,1.39,3.96
8-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,1.62,3.96
7-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,1.74,3.96
6-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
5-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.8,3.96
4-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,2,3.96
3-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,1.28,3.96
2-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
1-2-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
31-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
30-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
29-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
28-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
27-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
26-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
25-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,4.6,3.96
24-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
23-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
22-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
21-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
20-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
19-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
18-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
17-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0,3.96
16-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
15-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
14-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,3.6,3.96
13-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,5.2,3.96
12-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
11-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,0.2,3.96
10-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,4.8,3.96
9-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,12,3.96
8-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,4.4,3.96
7-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,3,3.96
6-1-18,26.5,15:28,14.1,5:24,20,96.5,41.4,70.5,0.9,228.8,21.4,21,3.96
